building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
The Forewood Ring,Crowhurst,East Sussex,21,25203,high,19487,Resolved dedication 'The Forewood Ring' (Crowhurst) among 2 towers in town
All Saints,Cottenham,Cambridgeshire,21,14338,high,,Unique tower in Cottenham; dedication 'All Saints' matches 'All Saints'
St Andrew,Tarvin,Cheshire,21,15036,high,,Unique tower in Tarvin; dedication 'S Andrew' matches 'St Andrew'
St Michael and All Angels,Maidstone,Kent,21,12644,high,11883;21917;21918;21919;21920;21921;21922,Resolved dedication 'S Michael & All Angels' (Maidstone) among 8 towers in town
,Bishopstoke,,21,11744,medium,25400,Partial dedication match for 'S Mary' among 2 towers in town
St Leonard,Middleton,Lancashire,21,16137,high,17672,Resolved dedication 'S Leonard' (Middleton) among 2 towers in town
All Saints,Highweek,Devon,21,11556,high,,Unique tower in Highweek; dedication 'All Saints' matches 'All Saints'
,Rothwell,Yorks,21,10886,high,,Unique tower in Rothwell (West Yorkshire); building unspecified in source
"St Magnus the Martyr, London Bridge",City of London,,21,13189,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Magnus the Martyr' (London) among 42 towers in town
16 Blackden Close,Belper,Derbyshire,20,,none,,Private residence address (handbell ring)
68 Rockfield Road,Fairfield,Derbyshire,20,,none,,Private residence address (handbell ring)
,Pettistree,Suffolk,20,13016,high,,Unique tower in Pettistree (Suffolk); building unspecified in source
St Helen,Etwall,Derbyshire,20,16656,high,,Unique tower in Etwall; dedication 'S Helen' matches 'St Helen'
Clock House Bells,Awbridge,Hampshire,20,,none,,Private residence name (handbell ring)
St Mary,Hasfield,Gloucestershire,20,16220,high,,Unique tower in Hasfield; dedication 'S Mary' matches 'St Mary'
St Mark,Swindon,Wiltshire,20,14500,high,10478;23947;23949;23950;10808,Resolved dedication 'S Mark' (Swindon) among 6 towers in town
"1a, Brampton Road",St Albans,Hertfordshire,20,,none,,Private residence name (handbell ring)
St Mark,Exeter,Devon,20,16135,high,13963;14687;15779;16959;14227;20007;20008;25133;20009;20016,Resolved dedication 'S Mark' (Exeter) among 16 towers in town
The Wayside,Leicester,Leics,20,,none,12250;10495;13828;21538;21539;21540;21541;21542;21544;21545,Unresolved: 'The Wayside' did not match any of the 15 towers in Leicester
St Stephen the Martyr,Bristol,Bristol,20,12993,high,10300;10331;15455;14342;11615;14422;12166;15180;12039;16354,Resolved dedication 'S Stephen M' (Bristol) among 17 towers in town
Ladies Who,Ringing Room,,19,,none,,Virtual ringing platform or dispersed locations
St Peter and St Paul,Algarkirk,Lincolnshire,19,15381,high,,Unique tower in Algarkirk; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
East Sussex,Ringing Room,,19,,none,,Virtual ringing platform or dispersed locations
St Mary the Virgin,Westmill,Hertfordshire,19,10793,high,,Unique tower in Westmill; dedication 'S Mary V' matches 'St Mary the Virgin'
St Andrew,Backwell,Somerset,19,11245,high,,Unique tower in Backwell; dedication 'S Andrew' matches 'St Andrew'
St Mary,Overton,Hampshire,19,12543,high,25237,Resolved dedication 'S Mary' (Overton) among 2 towers in town
St Saviour,Pimlico,Greater London,19,14962,high,15224;13642;22765,Resolved dedication 'S Saviour' (Pimlico) among 4 towers in town
,West Bridgford,,19,11771,medium,24556,Partial dedication match for 'S Giles' among 2 towers in town
,Farnworth-with-Kearsley,,19,,none,,No matching tower found for 'Farnworth-with-Kearsley' in Dove register
"St Lawrence, Hull Road",York,,19,16125,high,11340;13714;16004;11426;15985;13479;12165;10509;11836;10444,Resolved dedication 'S Lawrence' (York) among 24 towers in town
St Mark,Worsley,Greater Manchester,19,10612,high,,Unique tower in Worsley; dedication 'S Mark' matches 'St Mark'
45 Blanch Croft,Melbourne,Derbyshire,19,,none,,Private residence address (handbell ring)
Town Hall,Manchester,Greater Manchester,19,16363,high,12311;21935,Resolved dedication 'Town Hall' (Manchester) among 3 towers in town
Hazelton,Guernsey,Channel islands,18,,none,,No matching tower found for 'Guernsey' in Dove register
Sefton Avenue,York,North Yorkshire,18,,none,,Private residence name (handbell ring)
,Ringing Room,East Sussex,18,,none,,Virtual ringing platform or dispersed locations
446 Welford Road,Leicester,Leicestershire,18,,none,,Private residence address (handbell ring)
St Peter,Tewin,Hertfordshire,18,16358,high,,Unique tower in Tewin; dedication 'S Peter' matches 'St Peter'
"Vernet-les-Bains, Oldham & Great Hockham",Ringing Room,UK & France,18,,none,,Virtual ringing platform or dispersed locations
Mindinho-le-tower,Newmarket,Suffolk,18,,none,16670;12240,Unresolved: 'Mindinho-le-tower' did not match any of the 2 towers in Newmarket
St Agatha,Portsmouth,Hampshire,18,17042,high,13220;25238;16279;25536,Resolved dedication 'S Agatha' (Portsmouth) among 5 towers in town
St Thomas,Norbury,Cheshire,18,11240,high,,Unique tower in Norbury; dedication 'S Thomas' matches 'St Thomas'
,Highclere,,18,12671,medium,25413,Partial dedication match for 'S Michael & All Angels' among 2 towers in town
St Luke,Heywood,Greater Manchester,18,10893,high,20854;20855,Resolved dedication 'S Luke' (Heywood) among 3 towers in town
St Giles,Stoke Poges,Buckinghamshire,18,11988,high,25795,Resolved dedication 'S Giles' (Stoke Poges) among 2 towers in town
,Greasley,,18,15046,high,,Unique tower in Greasley (Nottinghamshire); building unspecified in source
,Campsall,,18,17041,high,,Unique tower in Campsall (South Yorkshire); building unspecified in source
,Trumpington,,18,10245,high,,Unique tower in Trumpington (Cambridgeshire); building unspecified in source
,Helmingham,,18,13545,high,,Unique tower in Helmingham (Suffolk); building unspecified in source
St Peter and St Paul,Moulton,Northamptonshire,18,13208,high,,Unique tower in Moulton; dedication 'S Peter & S Paul' matches 'St Peter and St Paul'
Cathedral,Leicester,,18,12250,high,10495;13828;21538;21539;21540;21541;21542;21544;21545;21546,Resolved dedication 'Cath Ch of S Martin' (Leicester) among 15 towers in town
80 Leconfield Road,Loughborough,Leicestershire,17,,none,,Private residence address (handbell ring)
St John Baptist,Sully,Vale of Glamorgan,17,11445,high,,Unique tower in Sully; dedication 'S John Bapt' matches 'St John Baptist'
St Thomas,Woolton Hill,Hampshire,17,14934,high,,Unique tower in Woolton Hill; dedication 'S Thomas' matches 'St Thomas'
St Alkmund,Duffield,Derbyshire,17,11235,high,,Unique tower in Duffield; dedication 'S Alkmund' matches 'St Alkmund'
"5, Moat Close",Bushey,Hertfordshire,17,,none,,Private residence name (handbell ring)
Windermere,Stretton Sugwas,Herefordshire,17,23875,medium,,"Sole ringing tower in Stretton Sugwas, but dedication 'S Mary Magd' differs from source 'Windermere'"
"Thorrington, Wickford, Great Hockham",Ringing Room,UK,17,,none,,Virtual ringing platform or dispersed locations
St John the Baptist,Windsor,Berkshire,17,15169,high,12504;25639;24863,Resolved dedication 'S John Bapt' (Windsor) among 4 towers in town
Highbury St (Dumbbell),Peterborough,City of Peterborough,17,,none,,No matching tower found for 'Peterborough' in Dove register
Swaledale,Holme Lacy,Herefordshire,17,,none,,Private domestic mini-ring or residence (handbell ring)
Christ Church,Dore,South Yorkshire,17,15539,high,,Unique tower in Dore; dedication 'Christ Church' matches 'Christ Church'
,East Ilsley,,17,10316,high,,Unique tower in East Ilsley (Berkshire); building unspecified in source
All Saints,Rotherham,,17,11336,high,15197,Resolved dedication 'Minster Ch of All Saints' (Rotherham) among 2 towers in town
Parish and Civic Church of St Mary-le-Wigford,Lincoln,Lincolnshire,16,13659,high,12153;25226;12159;10782;21599;11493;17791;21600;21601;21602,Resolved dedication 'S Mary le Wigford' (Lincoln) among 14 towers in town
,Marston-on-Dove,,16,16800,high,,Unique tower in Marston on Dove (Derbyshire); building unspecified in source
St Nicholas,Longparish,Hampshire,16,12538,high,,Unique tower in Longparish; dedication 'S Nicholas' matches 'St Nicholas'
St Giles,South Mymms,Hertfordshire,16,14256,high,,Unique tower in South Mimms; dedication 'S Giles' matches 'St Giles'
Priory Church of St Peter,Dunstable,Bedfordshire,16,15318,high,19733;19734,Resolved dedication 'Priory Ch of S Peter' (Dunstable) among 3 towers in town
St Mary,Rushden,Northamptonshire,16,10504,high,23118,Resolved dedication 'S Mary' (Rushden) among 2 towers in town
,Dore,,16,15539,high,,Unique tower in Dore (South Yorkshire); building unspecified in source
St Peter,Wellesbourne,Warwickshire,16,11177,high,,Unique tower in Wellesbourne; dedication 'S Peter' matches 'St Peter'
St Nicholas,Mavesyn Ridware,Staffordshire,16,15216,high,,Unique tower in Mavesyn Ridware; dedication 'S Nicholas' matches 'St Nicholas'
St Peter,Nottingham,,16,16058,high,16412;10637;25524;22500;22501;22502;22503,Resolved dedication 'S Peter' (Nottingham) among 8 towers in town
"Harrison Building, Exeter University",Exeter,Devon,16,20010,high,13963;14687;16135;15779;16959;14227;20007;20008;25133;20009,Resolved dedication 'S Matthew' (Newtown) among 16 towers in town
Bellfoundry Tower,Loughborough,Leicestershire,16,10191,high,16752;21820;21821;21822;17781,Resolved dedication 'Bell Foundry Tower' (Loughborough) among 6 towers in town
Bishop Ryder,Birmingham,,16,,none,16786;13032;15513;14891;12955;25526;25540;25808,Unresolved: 'Bishop Ryder' did not match any of the 8 towers in Birmingham
Holy Cross,Daventry,Northamptonshire,16,14260,high,,Unique tower in Daventry; dedication 'Holy Cross' matches 'Holy Cross'
"St Mary, Upton cum Chalvey",Slough,Berkshire,16,15564,high,25793;25794,Resolved dedication 'S Mary' (Slough) among 3 towers in town
SS Peter and Paul,Moulton,Northamptonshire,16,13208,high,,Unique tower in Moulton; dedication 'S Peter & S Paul' matches 'SS Peter and Paul'
,Drayton Bassett,,15,16528,high,,Unique tower in Drayton Bassett (Staffordshire); building unspecified in source
St Helen,Great Oxendon,Northamptonshire,15,16491,high,,Unique tower in Great Oxendon; dedication 'S Helen' matches 'St Helen'
St Mary the Virgin,Ashley,Northamptonshire,15,12989,high,,Unique tower in Ashley; dedication 'S Mary V' matches 'St Mary the Virgin'
The Alphabet Ring,Balga,Western Australia,15,25661,high,,Unique tower in Balga; dedication 'Cygnet Ring' matches 'The Alphabet Ring'
"C3 Old Court, Clare College",Cambridge,Cambridgeshire,15,,none,,Private residence name (handbell ring)
Cathedral Church of All Saints,Derby,Derbyshire,15,16607,high,16699;10354;19605;19606;19609;19610;19611;19613,Resolved dedication 'Cath Ch of All Saints' (Derby) among 9 towers in town
The John David Mini Ring,Wellington,New Zealand,15,,none,10533;13770;16362,Unresolved: 'The John David Mini Ring' did not match any of the 3 towers in Wellington
St Remigius,Hethersett,Norfolk,15,16435,high,,Unique tower in Hethersett; dedication 'S Remigius' matches 'St Remigius'
"170, Headstone Lane",Harrow,Middlesex,15,,none,,Private residence name (handbell ring)
St Peter,St Albans,Hertfordshire,15,11034,high,15782;14427;10871;23608;23609;23610;21987,Resolved dedication 'S Peter' (St Albans) among 8 towers in town
Bosham & Portsmouth,Ringing Room,West Sussex & Hampshire,15,,none,,Virtual ringing platform or dispersed locations
SS Philip and Jacob,Bristol,Bristol,15,15180,medium,10300;10331;15455;14342;11615;14422;12166;12993;12039;16354,Partial dedication match for 'S Philip & S Jacob' among 17 towers in town
St Mary the Virgin,Longcot,Oxfordshire,15,15804,high,,Unique tower in Longcot; dedication 'S Mary V' matches 'St Mary the Virgin'
St Nicholas,Islip,Oxfordshire,15,10318,high,,Unique tower in Islip; dedication 'S Nicholas' matches 'St Nicholas'
,Turners Hill,,15,16948,high,,Unique tower in Turners Hill (West Sussex); building unspecified in source
St Nicholas,Stevenage,Hertfordshire,15,11994,high,23771;23773;23772,Resolved dedication 'S Nicholas' (Stevenage) among 4 towers in town
,Royston,Herts,15,11703,high,,Unique tower in Royston (Hertfordshire); building unspecified in source
St Thomas,Oxford,Oxfordshire,15,11759,high,14542;10172;11850;12299;11203;16203;13271;13903;10326;10578,Resolved dedication 'S Thomas M' (Oxford) among 26 towers in town
All Saints,Northallerton,North Yorkshire,15,12067,high,,Unique tower in Northallerton; dedication 'All Saints' matches 'All Saints'
All Saints,Sapcote,Leicestershire,15,13130,high,25249,Resolved dedication 'All Saints' (Sapcote) among 2 towers in town
St Barnabas,Peasemore,Berkshire,14,11095,high,,Unique tower in Peasemore; dedication 'S Barnabas' matches 'St Barnabas'
,Warsop,,14,11117,high,,Unique tower in Warsop (Nottinghamshire); building unspecified in source
St James,Taxal,Derbyshire,14,12705,high,,Unique tower in Taxal; dedication 'S James' matches 'St James'
"St Wilfrid, Duncombe Place",York,,14,12165,high,11340;13714;16004;11426;16125;15985;13479;10509;11836;10444,Resolved dedication 'Oratory Ch of S Wilfrid' (York) among 24 towers in town
St Leonard,Horringer,Suffolk,14,14771,high,,Unique tower in Horringer; dedication 'S Leonard' matches 'St Leonard'
"Little Creed Cottage, Green Lane",Bosham,West Sussex,14,,none,,Private residence name (handbell ring)
The Plantagenet Ring,Church Lawford,Warwickshire,14,12558,high,14823,Resolved dedication 'Plantagenet Ring' (Church Lawford) among 2 towers in town
St Mary le Tower,Ipswich,Suffolk,14,11217,high,13614;13091;13121;10964;13732;12441;10057;16122;17735;21183,Resolved dedication 'Minster Ch of S Mary le Tower' (Ipswich) among 20 towers in town
RC Cathedral Church of St Anne,Leeds,West Yorkshire,14,11425,high,15978;13165;21524;21525;21526;21527;21531;25533;10218;14977,Resolved dedication 'Cath Ch of S Anne' (Leeds) among 27 towers in town
,Aldenham,,14,15828,high,,Unique tower in Aldenham (Hertfordshire); building unspecified in source
Bell Foundry Campanile,Loughborough,Leicestershire,14,10191,high,16752;21820;21821;21822;17781,Resolved dedication 'Bell Foundry Tower' (Loughborough) among 6 towers in town
All Saints,Isleworth,Greater London,14,13679,high,21203;21204;21205,Resolved dedication 'All Saints' (Isleworth) among 4 towers in town
St Mary,Moseley,West Midlands,14,16431,high,12134;22204,Resolved dedication 'S Mary' (Moseley) among 3 towers in town
St Peter,Nottingham,Nottinghamshire,14,16058,high,16412;10637;25524;22500;22501;22502;22503,Resolved dedication 'S Peter' (Nottingham) among 8 towers in town
"Calcot, 18 Sandhills Way",Reading,,14,,none,,Private residence name (handbell ring)
,Chilvers Coton,,14,13950,high,,Unique tower in Nuneaton (Warwickshire); building unspecified in source
,Langley,Berks,14,11210,high,,"Fuzzy place match (Langley -> Langley Marish, Berkshire)"
,Ringing Room,UK (Manchester and London),13,,none,,Virtual ringing platform or dispersed locations
All Saints,Ockbrook,Derbyshire,13,11154,high,,Unique tower in Ockbrook; dedication 'All Saints' matches 'All Saints'
St Botolph,Barton Seagrave,Northamptonshire,13,14518,high,,Unique tower in Barton Seagrave; dedication 'S Botolph' matches 'St Botolph'
St Helen,Sibbertoft,Northamptonshire,13,16862,high,,Unique tower in Sibbertoft; dedication 'S Helen' matches 'St Helen'
St Margaret,Old Fletton,Cambridgeshire,13,13106,high,,Unique tower in Old Fletton; dedication 'S Margaret' matches 'St Margaret'
St Lawrence,Frodsham,Cheshire,13,15988,high,,Unique tower in Frodsham; dedication 'S Lawrence' matches 'St Lawrence'
St Mary the Virgin,High Halden,Kent,13,13216,high,,Unique tower in High Halden; dedication 'S Mary V' matches 'St Mary the Virgin'
1 Albany Quadrant,Glasgow,,13,,none,,Private residence address (handbell ring)
St Mary,Aston,Hertfordshire,13,15118,high,,Unique tower in Aston; dedication 'S Mary' matches 'St Mary'
,Brockenhurst,,13,25199,medium,25265;25266;12797;25401,Partial dedication match for 'Captain MainwaRing' among 5 towers in town
St Mary the Virgin,Henham,Essex,13,12281,high,,Unique tower in Henham; dedication 'S Mary V' matches 'St Mary the Virgin'
